"Action","Source","Target","Bucket","SizeBytes","LastWriteTime"
"COPIED","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\Docs\01_DOCTRINE_POWERFLOW_V6_ACTIVE_20260505.md","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\PowerFlow_Workspace\02_DOCS_ACTIVE\DOCTRINE\01_DOCTRINE_POWERFLOW_V6_ACTIVE_20260505.md","02_DOCS_ACTIVE\DOCTRINE","4109","05/05/2026 12:13:39"
"COPIED","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\Docs\02_LEXIQUE_GRAMMAIRE_POWERFLOW_V6_ACTIVE_20260505.md","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\PowerFlow_Workspace\02_DOCS_ACTIVE\LEXIQUE_GRAMMAIRE\02_LEXIQUE_GRAMMAIRE_POWERFLOW_V6_ACTIVE_20260505.md","02_DOCS_ACTIVE\LEXIQUE_GRAMMAIRE","2888","05/05/2026 12:13:39"
"COPIED","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\Docs\03_MANIFESTE_REJETS_POWERFLOW_V6_ACTIVE_20260505.md","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\PowerFlow_Workspace\02_DOCS_ACTIVE\MANIFESTE\03_MANIFESTE_REJETS_POWERFLOW_V6_ACTIVE_20260505.md","02_DOCS_ACTIVE\MANIFESTE","3498","05/05/2026 12:13:40"
"COPIED","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\Docs\04_POWERFLOW_CURRENT_STATE_V3_CORE_20260505.md","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\PowerFlow_Workspace\00_CURRENT\04_POWERFLOW_CURRENT_STATE_V3_CORE_20260505.md","00_CURRENT","5402","05/05/2026 12:13:41"
"COPIED","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\Docs\05_CORE_INVENTORY_REPORT_INITIAL_20260505.md","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\PowerFlow_Workspace\09_CORE_MAP\CORE_INVENTORY\05_CORE_INVENTORY_REPORT_INITIAL_20260505.md","09_CORE_MAP\CORE_INVENTORY","6555","05/05/2026 12:13:38"
"COPIED","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\Docs\06_ROADMAP_POWERFLOW_V6_PRIORITES_LEVIERS_20260505.md","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\PowerFlow_Workspace\00_CURRENT\06_ROADMAP_POWERFLOW_V6_PRIORITES_LEVIERS_20260505.md","00_CURRENT","3148","05/05/2026 12:13:42"
"COPIED","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\Docs\07_SPEC_TEMPORAL_NODE_ALERT_STATE_20260505.md","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\PowerFlow_Workspace\07_SPECS\SPECS_ACTIVE\07_SPEC_TEMPORAL_NODE_ALERT_STATE_20260505.md","07_SPECS\SPECS_ACTIVE","3310","05/05/2026 12:13:42"
"COPIED","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\Docs\08_MISSION_CLAUDE_AUDIT_TEMPORAL_NODES_READONLY_20260505.md","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\PowerFlow_Workspace\01_INBOX_TO_CLASSIFY\FROM_TRADER\08_MISSION_CLAUDE_AUDIT_TEMPORAL_NODES_READONLY_20260505.md","01_INBOX_TO_CLASSIFY\FROM_TRADER","2061","05/05/2026 12:13:38"
"COPIED","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\Docs\CARTOGRAPHIE_ARCHITECTURE_TECHNIQUE_POWERFLOW_V6.md","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\PowerFlow_Workspace\02_DOCS_ACTIVE\ARCHITECTURE\CARTOGRAPHIE_ARCHITECTURE_TECHNIQUE_POWERFLOW_V6.md","02_DOCS_ACTIVE\ARCHITECTURE","7285","03/05/2026 13:02:01"
"COPIED","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\Docs\CHECKPOINT_POWERFLOW_AGENTIC_CORE_DASHBOARD_TELEGRAM_2026-05-04.md","C:\Users\User\Desktop\ProjetPowerFlow\IA\GPT\PowerFlow_Workspace\04_CHECKPOINTS\2026\2026-05\2026-05-04\CHECKPOINT_POWERFLOW_AGENTIC_CORE_DASHBOARD_TELEGRAM_2026-05-04.md","04_CHECKPOINTS\2026\2026-05\2026-05-04","4765","05/05/2026 01:00:23"
