"nom_fichier","chemin_source","chemin_relatif","chemin_archive","date_modif","taille_kb","action"
"pf_battlefield_radar_BACKUP_v01.py","C:\Users\User\Desktop\ProjetPowerFlow\ia\GPT\Archive\Core_BACKUP_before_codex_20260505_221251\Archive\backups\pf_battlefield_radar_BACKUP_v01.py","Archive\Core_BACKUP_before_codex_20260505_221251\Archive\backups\pf_battlefield_radar_BACKUP_v01.py","C:\Users\User\Desktop\ProjetPowerFlow\ia\GPT\Archive_20260509\Archive\Core_BACKUP_before_codex_20260505_221251\Archive\backups\pf_battlefield_radar_BACKUP_v01.py","2026-05-02 19:56:52","11,79","MOVE"
"pf_zone_context_logger_BACKUP_before_v011.py","C:\Users\User\Desktop\ProjetPowerFlow\ia\GPT\Archive\Core_BACKUP_before_codex_20260505_221251\Archive\backups\pf_zone_context_logger_BACKUP_before_v011.py","Archive\Core_BACKUP_before_codex_20260505_221251\Archive\backups\pf_zone_context_logger_BACKUP_before_v011.py","C:\Users\User\Desktop\ProjetPowerFlow\ia\GPT\Archive_20260509\Archive\Core_BACKUP_before_codex_20260505_221251\Archive\backups\pf_zone_context_logger_BACKUP_before_v011.py","2026-05-02 18:21:41","17,09","MOVE"
"pf_zone_context_logger_BACKUP_v01.py","C:\Users\User\Desktop\ProjetPowerFlow\ia\GPT\Archive\Core_BACKUP_before_codex_20260505_221251\Archive\backups\pf_zone_context_logger_BACKUP_v01.py","Archive\Core_BACKUP_before_codex_20260505_221251\Archive\backups\pf_zone_context_logger_BACKUP_v01.py","C:\Users\User\Desktop\ProjetPowerFlow\ia\GPT\Archive_20260509\Archive\Core_BACKUP_before_codex_20260505_221251\Archive\backups\pf_zone_context_logger_BACKUP_v01.py","2026-05-02 18:21:41","17,09","MOVE"
"run_battlefield_radar_once_BACKUP_v01.py","C:\Users\User\Desktop\ProjetPowerFlow\ia\GPT\Archive\Core_BACKUP_before_codex_20260505_221251\Archive\backups\run_battlefield_radar_once_BACKUP_v01.py","Archive\Core_BACKUP_before_codex_20260505_221251\Archive\backups\run_battlefield_radar_once_BACKUP_v01.py","C:\Users\User\Desktop\ProjetPowerFlow\ia\GPT\Archive_20260509\Archive\Core_BACKUP_before_codex_20260505_221251\Archive\backups\run_battlefield_radar_once_BACKUP_v01.py","2026-05-02 19:56:53","4,75","MOVE"
"run_coalition_relations_once_BACKUP_before_v02.py","C:\Users\User\Desktop\ProjetPowerFlow\ia\GPT\Archive\Core_BACKUP_before_codex_20260505_221251\Archive\backups\run_coalition_relations_once_BACKUP_before_v02.py","Archive\Core_BACKUP_before_codex_20260505_221251\Archive\backups\run_coalition_relations_once_BACKUP_before_v02.py","C:\Users\User\Desktop\ProjetPowerFlow\ia\GPT\Archive_20260509\Archive\Core_BACKUP_before_codex_20260505_221251\Archive\backups\run_coalition_relations_once_BACKUP_before_v02.py","2026-05-02 18:51:42","13,71","MOVE"
"run_coalition_relations_once_BACKUP_v01.py","C:\Users\User\Desktop\ProjetPowerFlow\ia\GPT\Archive\Core_BACKUP_before_codex_20260505_221251\Archive\backups\run_coalition_relations_once_BACKUP_v01.py","Archive\Core_BACKUP_before_codex_20260505_221251\Archive\backups\run_coalition_relations_once_BACKUP_v01.py","C:\Users\User\Desktop\ProjetPowerFlow\ia\GPT\Archive_20260509\Archive\Core_BACKUP_before_codex_20260505_221251\Archive\backups\run_coalition_relations_once_BACKUP_v01.py","2026-05-02 18:47:28","8,52","MOVE"
"run_coalition_relations_once_BACKUP_v02.py","C:\Users\User\Desktop\ProjetPowerFlow\ia\GPT\Archive\Core_BACKUP_before_codex_20260505_221251\Archive\backups\run_coalition_relations_once_BACKUP_v02.py","Archive\Core_BACKUP_before_codex_20260505_221251\Archive\backups\run_coalition_relations_once_BACKUP_v02.py","C:\Users\User\Desktop\ProjetPowerFlow\ia\GPT\Archive_20260509\Archive\Core_BACKUP_before_codex_20260505_221251\Archive\backups\run_coalition_relations_once_BACKUP_v02.py","2026-05-02 18:56:27","13,71","MOVE"
"run_zone_context_logger_once_BACKUP_before_v011.py","C:\Users\User\Desktop\ProjetPowerFlow\ia\GPT\Archive\Core_BACKUP_before_codex_20260505_221251\Archive\backups\run_zone_context_logger_once_BACKUP_before_v011.py","Archive\Core_BACKUP_before_codex_20260505_221251\Archive\backups\run_zone_context_logger_once_BACKUP_before_v011.py","C:\Users\User\Desktop\ProjetPowerFlow\ia\GPT\Archive_20260509\Archive\Core_BACKUP_before_codex_20260505_221251\Archive\backups\run_zone_context_logger_once_BACKUP_before_v011.py","2026-05-02 18:23:13","8,43","MOVE"
"run_zone_context_logger_once_BACKUP_v01.py","C:\Users\User\Desktop\ProjetPowerFlow\ia\GPT\Archive\Core_BACKUP_before_codex_20260505_221251\Archive\backups\run_zone_context_logger_once_BACKUP_v01.py","Archive\Core_BACKUP_before_codex_20260505_221251\Archive\backups\run_zone_context_logger_once_BACKUP_v01.py","C:\Users\User\Desktop\ProjetPowerFlow\ia\GPT\Archive_20260509\Archive\Core_BACKUP_before_codex_20260505_221251\Archive\backups\run_zone_context_logger_once_BACKUP_v01.py","2026-05-02 18:23:13","8,43","MOVE"
"pf_temporal_patterns_cockpit.py.bak","C:\Users\User\Desktop\ProjetPowerFlow\ia\GPT\Archive\Core_BACKUP_before_codex_20260505_221251\Archive\pf_temporal_patterns_cockpit.py.bak","Archive\Core_BACKUP_before_codex_20260505_221251\Archive\pf_temporal_patterns_cockpit.py.bak","C:\Users\User\Desktop\ProjetPowerFlow\ia\GPT\Archive_20260509\Archive\Core_BACKUP_before_codex_20260505_221251\Archive\pf_temporal_patterns_cockpit.py.bak","2026-05-03 01:19:43","22,29","MOVE"
"capture_bridge_BACKUP_before_ea_v2_20260504_174432.py","C:\Users\User\Desktop\ProjetPowerFlow\ia\GPT\Archive\Core_BACKUP_before_codex_20260505_221251\capture_bridge_BACKUP_before_ea_v2_20260504_174432.py","Archive\Core_BACKUP_before_codex_20260505_221251\capture_bridge_BACKUP_before_ea_v2_20260504_174432.py","C:\Users\User\Desktop\ProjetPowerFlow\ia\GPT\Archive_20260509\Archive\Core_BACKUP_before_codex_20260505_221251\capture_bridge_BACKUP_before_ea_v2_20260504_174432.py","2026-05-04 17:44:32","7,49","MOVE"
"db_BACKUP_before_ea_v2_20260504_174432.py","C:\Users\User\Desktop\ProjetPowerFlow\ia\GPT\Archive\Core_BACKUP_before_codex_20260505_221251\db_BACKUP_before_ea_v2_20260504_174432.py","Archive\Core_BACKUP_before_codex_20260505_221251\db_BACKUP_before_ea_v2_20260504_174432.py","C:\Users\User\Desktop\ProjetPowerFlow\ia\GPT\Archive_20260509\Archive\Core_BACKUP_before_codex_20260505_221251\db_BACKUP_before_ea_v2_20260504_174432.py","2026-05-04 17:44:32","14,89","MOVE"
"pf_battlefield_radar_BACKUP_v01.py","C:\Users\User\Desktop\ProjetPowerFlow\ia\GPT\Core\Archive\backups\pf_battlefield_radar_BACKUP_v01.py","Core\Archive\backups\pf_battlefield_radar_BACKUP_v01.py","C:\Users\User\Desktop\ProjetPowerFlow\ia\GPT\Archive_20260509\Core\Archive\backups\pf_battlefield_radar_BACKUP_v01.py","2026-05-02 19:56:52","11,79","MOVE"
"pf_zone_context_logger_BACKUP_before_v011.py","C:\Users\User\Desktop\ProjetPowerFlow\ia\GPT\Core\Archive\backups\pf_zone_context_logger_BACKUP_before_v011.py","Core\Archive\backups\pf_zone_context_logger_BACKUP_before_v011.py","C:\Users\User\Desktop\ProjetPowerFlow\ia\GPT\Archive_20260509\Core\Archive\backups\pf_zone_context_logger_BACKUP_before_v011.py","2026-05-02 18:21:41","17,09","MOVE"
"pf_zone_context_logger_BACKUP_v01.py","C:\Users\User\Desktop\ProjetPowerFlow\ia\GPT\Core\Archive\backups\pf_zone_context_logger_BACKUP_v01.py","Core\Archive\backups\pf_zone_context_logger_BACKUP_v01.py","C:\Users\User\Desktop\ProjetPowerFlow\ia\GPT\Archive_20260509\Core\Archive\backups\pf_zone_context_logger_BACKUP_v01.py","2026-05-02 18:21:41","17,09","MOVE"
"run_battlefield_radar_once_BACKUP_v01.py","C:\Users\User\Desktop\ProjetPowerFlow\ia\GPT\Core\Archive\backups\run_battlefield_radar_once_BACKUP_v01.py","Core\Archive\backups\run_battlefield_radar_once_BACKUP_v01.py","C:\Users\User\Desktop\ProjetPowerFlow\ia\GPT\Archive_20260509\Core\Archive\backups\run_battlefield_radar_once_BACKUP_v01.py","2026-05-02 19:56:53","4,75","MOVE"
"run_coalition_relations_once_BACKUP_before_v02.py","C:\Users\User\Desktop\ProjetPowerFlow\ia\GPT\Core\Archive\backups\run_coalition_relations_once_BACKUP_before_v02.py","Core\Archive\backups\run_coalition_relations_once_BACKUP_before_v02.py","C:\Users\User\Desktop\ProjetPowerFlow\ia\GPT\Archive_20260509\Core\Archive\backups\run_coalition_relations_once_BACKUP_before_v02.py","2026-05-02 18:51:42","13,71","MOVE"
"run_coalition_relations_once_BACKUP_v01.py","C:\Users\User\Desktop\ProjetPowerFlow\ia\GPT\Core\Archive\backups\run_coalition_relations_once_BACKUP_v01.py","Core\Archive\backups\run_coalition_relations_once_BACKUP_v01.py","C:\Users\User\Desktop\ProjetPowerFlow\ia\GPT\Archive_20260509\Core\Archive\backups\run_coalition_relations_once_BACKUP_v01.py","2026-05-02 18:47:28","8,52","MOVE"
"run_coalition_relations_once_BACKUP_v02.py","C:\Users\User\Desktop\ProjetPowerFlow\ia\GPT\Core\Archive\backups\run_coalition_relations_once_BACKUP_v02.py","Core\Archive\backups\run_coalition_relations_once_BACKUP_v02.py","C:\Users\User\Desktop\ProjetPowerFlow\ia\GPT\Archive_20260509\Core\Archive\backups\run_coalition_relations_once_BACKUP_v02.py","2026-05-02 18:56:27","13,71","MOVE"
"run_zone_context_logger_once_BACKUP_before_v011.py","C:\Users\User\Desktop\ProjetPowerFlow\ia\GPT\Core\Archive\backups\run_zone_context_logger_once_BACKUP_before_v011.py","Core\Archive\backups\run_zone_context_logger_once_BACKUP_before_v011.py","C:\Users\User\Desktop\ProjetPowerFlow\ia\GPT\Archive_20260509\Core\Archive\backups\run_zone_context_logger_once_BACKUP_before_v011.py","2026-05-02 18:23:13","8,43","MOVE"
"run_zone_context_logger_once_BACKUP_v01.py","C:\Users\User\Desktop\ProjetPowerFlow\ia\GPT\Core\Archive\backups\run_zone_context_logger_once_BACKUP_v01.py","Core\Archive\backups\run_zone_context_logger_once_BACKUP_v01.py","C:\Users\User\Desktop\ProjetPowerFlow\ia\GPT\Archive_20260509\Core\Archive\backups\run_zone_context_logger_once_BACKUP_v01.py","2026-05-02 18:23:13","8,43","MOVE"
"pf_temporal_node_state_before_p0_patch_manual.py","C:\Users\User\Desktop\ProjetPowerFlow\ia\GPT\Core\Archive\patches\pf_temporal_node_state_before_p0_patch_manual.py","Core\Archive\patches\pf_temporal_node_state_before_p0_patch_manual.py","C:\Users\User\Desktop\ProjetPowerFlow\ia\GPT\Archive_20260509\Core\Archive\patches\pf_temporal_node_state_before_p0_patch_manual.py","2026-05-05 13:58:52","47,47","MOVE"
"pf_temporal_node_state_before_real_p0_patch.py","C:\Users\User\Desktop\ProjetPowerFlow\ia\GPT\Core\Archive\patches\pf_temporal_node_state_before_real_p0_patch.py","Core\Archive\patches\pf_temporal_node_state_before_real_p0_patch.py","C:\Users\User\Desktop\ProjetPowerFlow\ia\GPT\Archive_20260509\Core\Archive\patches\pf_temporal_node_state_before_real_p0_patch.py","2026-05-05 13:58:52","47,47","MOVE"
