film_id,date,time_start,time_end,session,source_family,summary_recovery_type,source_mode,data_visibility,confidence_cap,moment_type,label_fr,base,reaction,projection,judgment,raw_agreement,proxy_vs_raw_verdict,proxy_raw_agreement_state,source_quality_score,source_quality,source_quality_state,b6_memory_candidate_score,b6_memory_candidate_state,raw_texture_role,raw_delta_pips,raw_range_pips,raw_tick_count,memory_family,pattern_key,why_keep_for_memory,memory_use_case,similarity_features,limits
B6FC_20260504_2000_F153CDA1,2026-05-04,2026-05-04T20:00:00+00:00,2026-05-04T21:00:00+00:00,NY_AFTERNOON,FORCE_SNAPSHOT_DERIVED,FORCE_SNAPSHOT_DERIVED,TF30_BAR_PROXY,RECONSTRUCTED_FORCE_SNAPSHOT_DERIVED,0.25,FLOW_DIRECTIONAL_DISPLACEMENT,Déplacement directionnel proxy,Base scene: Déplacement directionnel proxy (FLOW_DIRECTIONAL_DISPLACEMENT).,Reaction raw indisponible: scene rejetee de la memoire active.,Projection non exploitable: raw unavailable.,"REJECT: raw indisponible, conserve seulement comme trace de couverture.",RAW_UNAVAILABLE,RAW_UNAVAILABLE,RAW_UNAVAILABLE,0.000,SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE,SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE,0.000,B6_REJECT_RAW_UNAVAILABLE,RAW_UNAVAILABLE,0.0,0.0,0,RAW_UNAVAILABLE_REJECT,RAW_UNAVAILABLE_REJECT|FORCE_SNAPSHOT_DERIVED|TF30_BAR_PROXY|RAW_UNAVAILABLE|RAW_UNAVAILABLE|SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE,Rejected or trace only: Rejet memoire active: raw indisponible; conservation uniquement en trace de couverture.,"Comparer comme contexte mixte, utile pour faux positifs et differences de texture.",family=RAW_UNAVAILABLE_REJECT; session=NY_AFTERNOON; raw_texture=RAW_UNAVAILABLE; raw_agreement=RAW_UNAVAILABLE; source_quality=SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE; source_family=FORCE_SNAPSHOT_DERIVED; source_mode=TF30_BAR_PROXY,FORCE_SNAPSHOT_DERIVED: reconstruction force_snapshots_v2; not recovered existing summary; proxy/reconstructed reading; not full footprint claim; RAW_UNAVAILABLE: excluded from active B6 memory; source_quality_raw=SPARSE_PROXY_COVERAGE; confidence_cap=0.25; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260504_2100_F5166A0C,2026-05-04,2026-05-04T21:00:00+00:00,2026-05-04T21:30:00+00:00,LATE_US_ASIA_HANDOVER,FORCE_SNAPSHOT_DERIVED,FORCE_SNAPSHOT_DERIVED,TF30_BAR_PROXY,RECONSTRUCTED_FORCE_SNAPSHOT_DERIVED,0.25,FLOW_WEAK_DIRECTIONAL,Flux faible / transition proxy,Base scene: Flux faible / transition proxy (FLOW_WEAK_DIRECTIONAL).,Reaction raw indisponible: scene rejetee de la memoire active.,Projection non exploitable: raw unavailable.,"REJECT: raw indisponible, conserve seulement comme trace de couverture.",RAW_UNAVAILABLE,RAW_UNAVAILABLE,RAW_UNAVAILABLE,0.000,SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE,SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE,0.000,B6_REJECT_RAW_UNAVAILABLE,RAW_UNAVAILABLE,0.0,0.0,0,RAW_UNAVAILABLE_REJECT,RAW_UNAVAILABLE_REJECT|FORCE_SNAPSHOT_DERIVED|TF30_BAR_PROXY|RAW_UNAVAILABLE|RAW_UNAVAILABLE|SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE,Rejected or trace only: Rejet memoire active: raw indisponible; conservation uniquement en trace de couverture.,"Comparer comme contexte mixte, utile pour faux positifs et differences de texture.",family=RAW_UNAVAILABLE_REJECT; session=LATE_US_ASIA_HANDOVER; raw_texture=RAW_UNAVAILABLE; raw_agreement=RAW_UNAVAILABLE; source_quality=SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE; source_family=FORCE_SNAPSHOT_DERIVED; source_mode=TF30_BAR_PROXY,FORCE_SNAPSHOT_DERIVED: reconstruction force_snapshots_v2; not recovered existing summary; proxy/reconstructed reading; not full footprint claim; RAW_UNAVAILABLE: excluded from active B6 memory; source_quality_raw=SPARSE_PROXY_COVERAGE; confidence_cap=0.25; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260505_2206_AA7E46A2,2026-05-05,2026-05-05T22:06:00+00:00,2026-05-05T23:06:00+00:00,LATE_US_ASIA_HANDOVER,FORCE_SNAPSHOT_DERIVED,FORCE_SNAPSHOT_DERIVED,M1_BAR_PROXY,RECONSTRUCTED_FORCE_SNAPSHOT_DERIVED,0.35,FLOW_WEAK_DIRECTIONAL,Flux faible / transition proxy,Base scene: Flux faible / transition proxy (FLOW_WEAK_DIRECTIONAL).,Reaction raw indisponible: scene rejetee de la memoire active.,Projection non exploitable: raw unavailable.,"REJECT: raw indisponible, conserve seulement comme trace de couverture.",RAW_UNAVAILABLE,RAW_UNAVAILABLE,RAW_UNAVAILABLE,0.000,SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE,SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE,0.000,B6_REJECT_RAW_UNAVAILABLE,RAW_UNAVAILABLE,0.0,0.0,0,RAW_UNAVAILABLE_REJECT,RAW_UNAVAILABLE_REJECT|FORCE_SNAPSHOT_DERIVED|M1_BAR_PROXY|RAW_UNAVAILABLE|RAW_UNAVAILABLE|SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE,Rejected or trace only: Rejet memoire active: raw indisponible; conservation uniquement en trace de couverture.,"Comparer comme contexte mixte, utile pour faux positifs et differences de texture.",family=RAW_UNAVAILABLE_REJECT; session=LATE_US_ASIA_HANDOVER; raw_texture=RAW_UNAVAILABLE; raw_agreement=RAW_UNAVAILABLE; source_quality=SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE; source_family=FORCE_SNAPSHOT_DERIVED; source_mode=M1_BAR_PROXY,FORCE_SNAPSHOT_DERIVED: reconstruction force_snapshots_v2; not recovered existing summary; proxy/reconstructed reading; not full footprint claim; RAW_UNAVAILABLE: excluded from active B6 memory; source_quality_raw=PARTIAL_PROXY_COVERAGE; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260507_2001_CF879BA1,2026-05-07,2026-05-07T20:01:00+00:00,2026-05-07T21:01:00+00:00,NY_AFTERNOON,FORCE_SNAPSHOT_DERIVED,FORCE_SNAPSHOT_DERIVED,M1_BAR_PROXY,RECONSTRUCTED_FORCE_SNAPSHOT_DERIVED,0.35,FLOW_WEAK_DIRECTIONAL,Flux faible / transition proxy,Base scene: Flux faible / transition proxy (FLOW_WEAK_DIRECTIONAL).,Reaction raw indisponible: scene rejetee de la memoire active.,Projection non exploitable: raw unavailable.,"REJECT: raw indisponible, conserve seulement comme trace de couverture.",RAW_UNAVAILABLE,RAW_UNAVAILABLE,RAW_UNAVAILABLE,0.000,SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE,SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE,0.000,B6_REJECT_RAW_UNAVAILABLE,RAW_UNAVAILABLE,0.0,0.0,0,RAW_UNAVAILABLE_REJECT,RAW_UNAVAILABLE_REJECT|FORCE_SNAPSHOT_DERIVED|M1_BAR_PROXY|RAW_UNAVAILABLE|RAW_UNAVAILABLE|SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE,Rejected or trace only: Rejet memoire active: raw indisponible; conservation uniquement en trace de couverture.,"Comparer comme contexte mixte, utile pour faux positifs et differences de texture.",family=RAW_UNAVAILABLE_REJECT; session=NY_AFTERNOON; raw_texture=RAW_UNAVAILABLE; raw_agreement=RAW_UNAVAILABLE; source_quality=SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE; source_family=FORCE_SNAPSHOT_DERIVED; source_mode=M1_BAR_PROXY,FORCE_SNAPSHOT_DERIVED: reconstruction force_snapshots_v2; not recovered existing summary; proxy/reconstructed reading; not full footprint claim; RAW_UNAVAILABLE: excluded from active B6 memory; source_quality_raw=FULL_DAY_M1_PROXY; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260507_2101_E9F96B3C,2026-05-07,2026-05-07T21:01:00+00:00,2026-05-07T22:01:00+00:00,LATE_US_ASIA_HANDOVER,FORCE_SNAPSHOT_DERIVED,FORCE_SNAPSHOT_DERIVED,M1_BAR_PROXY,RECONSTRUCTED_FORCE_SNAPSHOT_DERIVED,0.35,FLOW_ROTATIONAL,Rotation / respiration de zone,Base scene: Rotation / respiration de zone (FLOW_ROTATIONAL).,Reaction raw indisponible: scene rejetee de la memoire active.,Projection non exploitable: raw unavailable.,"REJECT: raw indisponible, conserve seulement comme trace de couverture.",RAW_UNAVAILABLE,RAW_UNAVAILABLE,RAW_UNAVAILABLE,0.000,SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE,SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE,0.000,B6_REJECT_RAW_UNAVAILABLE,RAW_UNAVAILABLE,0.0,0.0,0,RAW_UNAVAILABLE_REJECT,RAW_UNAVAILABLE_REJECT|FORCE_SNAPSHOT_DERIVED|M1_BAR_PROXY|RAW_UNAVAILABLE|RAW_UNAVAILABLE|SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE,Rejected or trace only: Rejet memoire active: raw indisponible; conservation uniquement en trace de couverture.,"Comparer comme contexte mixte, utile pour faux positifs et differences de texture.",family=RAW_UNAVAILABLE_REJECT; session=LATE_US_ASIA_HANDOVER; raw_texture=RAW_UNAVAILABLE; raw_agreement=RAW_UNAVAILABLE; source_quality=SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE; source_family=FORCE_SNAPSHOT_DERIVED; source_mode=M1_BAR_PROXY,FORCE_SNAPSHOT_DERIVED: reconstruction force_snapshots_v2; not recovered existing summary; proxy/reconstructed reading; not full footprint claim; RAW_UNAVAILABLE: excluded from active B6 memory; source_quality_raw=FULL_DAY_M1_PROXY; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260507_2201_22248877,2026-05-07,2026-05-07T22:01:00+00:00,2026-05-07T23:01:00+00:00,LATE_US_ASIA_HANDOVER,FORCE_SNAPSHOT_DERIVED,FORCE_SNAPSHOT_DERIVED,M1_BAR_PROXY,RECONSTRUCTED_FORCE_SNAPSHOT_DERIVED,0.35,FLOW_DIRECTIONAL_DISPLACEMENT,Déplacement directionnel proxy,Base scene: Déplacement directionnel proxy (FLOW_DIRECTIONAL_DISPLACEMENT).,Reaction raw indisponible: scene rejetee de la memoire active.,Projection non exploitable: raw unavailable.,"REJECT: raw indisponible, conserve seulement comme trace de couverture.",RAW_UNAVAILABLE,RAW_UNAVAILABLE,RAW_UNAVAILABLE,0.000,SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE,SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE,0.000,B6_REJECT_RAW_UNAVAILABLE,RAW_UNAVAILABLE,0.0,0.0,0,RAW_UNAVAILABLE_REJECT,RAW_UNAVAILABLE_REJECT|FORCE_SNAPSHOT_DERIVED|M1_BAR_PROXY|RAW_UNAVAILABLE|RAW_UNAVAILABLE|SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE,Rejected or trace only: Rejet memoire active: raw indisponible; conservation uniquement en trace de couverture.,"Comparer comme contexte mixte, utile pour faux positifs et differences de texture.",family=RAW_UNAVAILABLE_REJECT; session=LATE_US_ASIA_HANDOVER; raw_texture=RAW_UNAVAILABLE; raw_agreement=RAW_UNAVAILABLE; source_quality=SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE; source_family=FORCE_SNAPSHOT_DERIVED; source_mode=M1_BAR_PROXY,FORCE_SNAPSHOT_DERIVED: reconstruction force_snapshots_v2; not recovered existing summary; proxy/reconstructed reading; not full footprint claim; RAW_UNAVAILABLE: excluded from active B6 memory; source_quality_raw=FULL_DAY_M1_PROXY; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260508_2004_6E072B7C,2026-05-08,2026-05-08T20:04:00+00:00,2026-05-08T21:04:00+00:00,NY_AFTERNOON,FORCE_SNAPSHOT_DERIVED,FORCE_SNAPSHOT_DERIVED,M1_BAR_PROXY,RECONSTRUCTED_FORCE_SNAPSHOT_DERIVED,0.35,FLOW_DIRECTIONAL_DISPLACEMENT,Déplacement directionnel proxy,Base scene: Déplacement directionnel proxy (FLOW_DIRECTIONAL_DISPLACEMENT).,Reaction raw indisponible: scene rejetee de la memoire active.,Projection non exploitable: raw unavailable.,"REJECT: raw indisponible, conserve seulement comme trace de couverture.",RAW_UNAVAILABLE,RAW_UNAVAILABLE,RAW_UNAVAILABLE,0.000,SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE,SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE,0.000,B6_REJECT_RAW_UNAVAILABLE,RAW_UNAVAILABLE,0.0,0.0,0,RAW_UNAVAILABLE_REJECT,RAW_UNAVAILABLE_REJECT|FORCE_SNAPSHOT_DERIVED|M1_BAR_PROXY|RAW_UNAVAILABLE|RAW_UNAVAILABLE|SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE,Rejected or trace only: Rejet memoire active: raw indisponible; conservation uniquement en trace de couverture.,"Comparer comme contexte mixte, utile pour faux positifs et differences de texture.",family=RAW_UNAVAILABLE_REJECT; session=NY_AFTERNOON; raw_texture=RAW_UNAVAILABLE; raw_agreement=RAW_UNAVAILABLE; source_quality=SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE; source_family=FORCE_SNAPSHOT_DERIVED; source_mode=M1_BAR_PROXY,FORCE_SNAPSHOT_DERIVED: reconstruction force_snapshots_v2; not recovered existing summary; proxy/reconstructed reading; not full footprint claim; RAW_UNAVAILABLE: excluded from active B6 memory; source_quality_raw=FULL_DAY_M1_PROXY; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260508_2104_135E7B8A,2026-05-08,2026-05-08T21:04:00+00:00,2026-05-08T22:04:00+00:00,LATE_US_ASIA_HANDOVER,FORCE_SNAPSHOT_DERIVED,FORCE_SNAPSHOT_DERIVED,M1_BAR_PROXY,RECONSTRUCTED_FORCE_SNAPSHOT_DERIVED,0.35,FLOW_ROTATIONAL,Rotation / respiration de zone,Base scene: Rotation / respiration de zone (FLOW_ROTATIONAL).,Reaction raw indisponible: scene rejetee de la memoire active.,Projection non exploitable: raw unavailable.,"REJECT: raw indisponible, conserve seulement comme trace de couverture.",RAW_UNAVAILABLE,RAW_UNAVAILABLE,RAW_UNAVAILABLE,0.000,SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE,SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE,0.000,B6_REJECT_RAW_UNAVAILABLE,RAW_UNAVAILABLE,0.0,0.0,0,RAW_UNAVAILABLE_REJECT,RAW_UNAVAILABLE_REJECT|FORCE_SNAPSHOT_DERIVED|M1_BAR_PROXY|RAW_UNAVAILABLE|RAW_UNAVAILABLE|SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE,Rejected or trace only: Rejet memoire active: raw indisponible; conservation uniquement en trace de couverture.,"Comparer comme contexte mixte, utile pour faux positifs et differences de texture.",family=RAW_UNAVAILABLE_REJECT; session=LATE_US_ASIA_HANDOVER; raw_texture=RAW_UNAVAILABLE; raw_agreement=RAW_UNAVAILABLE; source_quality=SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE; source_family=FORCE_SNAPSHOT_DERIVED; source_mode=M1_BAR_PROXY,FORCE_SNAPSHOT_DERIVED: reconstruction force_snapshots_v2; not recovered existing summary; proxy/reconstructed reading; not full footprint claim; RAW_UNAVAILABLE: excluded from active B6 memory; source_quality_raw=FULL_DAY_M1_PROXY; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260508_2204_609294EB,2026-05-08,2026-05-08T22:04:00+00:00,2026-05-08T23:04:00+00:00,LATE_US_ASIA_HANDOVER,FORCE_SNAPSHOT_DERIVED,FORCE_SNAPSHOT_DERIVED,M1_BAR_PROXY,RECONSTRUCTED_FORCE_SNAPSHOT_DERIVED,0.35,FLOW_DIRECTIONAL_DISPLACEMENT,Déplacement directionnel proxy,Base scene: Déplacement directionnel proxy (FLOW_DIRECTIONAL_DISPLACEMENT).,Reaction raw indisponible: scene rejetee de la memoire active.,Projection non exploitable: raw unavailable.,"REJECT: raw indisponible, conserve seulement comme trace de couverture.",RAW_UNAVAILABLE,RAW_UNAVAILABLE,RAW_UNAVAILABLE,0.000,SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE,SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE,0.000,B6_REJECT_RAW_UNAVAILABLE,RAW_UNAVAILABLE,0.0,0.0,0,RAW_UNAVAILABLE_REJECT,RAW_UNAVAILABLE_REJECT|FORCE_SNAPSHOT_DERIVED|M1_BAR_PROXY|RAW_UNAVAILABLE|RAW_UNAVAILABLE|SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE,Rejected or trace only: Rejet memoire active: raw indisponible; conservation uniquement en trace de couverture.,"Comparer comme contexte mixte, utile pour faux positifs et differences de texture.",family=RAW_UNAVAILABLE_REJECT; session=LATE_US_ASIA_HANDOVER; raw_texture=RAW_UNAVAILABLE; raw_agreement=RAW_UNAVAILABLE; source_quality=SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE; source_family=FORCE_SNAPSHOT_DERIVED; source_mode=M1_BAR_PROXY,FORCE_SNAPSHOT_DERIVED: reconstruction force_snapshots_v2; not recovered existing summary; proxy/reconstructed reading; not full footprint claim; RAW_UNAVAILABLE: excluded from active B6 memory; source_quality_raw=FULL_DAY_M1_PROXY; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260508_2304_FF3C6FDC,2026-05-08,2026-05-08T23:04:00+00:00,2026-05-08T23:57:00+00:00,LATE_US_ASIA_HANDOVER,FORCE_SNAPSHOT_DERIVED,FORCE_SNAPSHOT_DERIVED,M1_BAR_PROXY,RECONSTRUCTED_FORCE_SNAPSHOT_DERIVED,0.35,FLOW_ROTATIONAL,Rotation / respiration de zone,Base scene: Rotation / respiration de zone (FLOW_ROTATIONAL).,Reaction raw indisponible: scene rejetee de la memoire active.,Projection non exploitable: raw unavailable.,"REJECT: raw indisponible, conserve seulement comme trace de couverture.",RAW_UNAVAILABLE,RAW_UNAVAILABLE,RAW_UNAVAILABLE,0.000,SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE,SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE,0.000,B6_REJECT_RAW_UNAVAILABLE,RAW_UNAVAILABLE,0.0,0.0,0,RAW_UNAVAILABLE_REJECT,RAW_UNAVAILABLE_REJECT|FORCE_SNAPSHOT_DERIVED|M1_BAR_PROXY|RAW_UNAVAILABLE|RAW_UNAVAILABLE|SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE,Rejected or trace only: Rejet memoire active: raw indisponible; conservation uniquement en trace de couverture.,"Comparer comme contexte mixte, utile pour faux positifs et differences de texture.",family=RAW_UNAVAILABLE_REJECT; session=LATE_US_ASIA_HANDOVER; raw_texture=RAW_UNAVAILABLE; raw_agreement=RAW_UNAVAILABLE; source_quality=SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE; source_family=FORCE_SNAPSHOT_DERIVED; source_mode=M1_BAR_PROXY,FORCE_SNAPSHOT_DERIVED: reconstruction force_snapshots_v2; not recovered existing summary; proxy/reconstructed reading; not full footprint claim; RAW_UNAVAILABLE: excluded from active B6 memory; source_quality_raw=FULL_DAY_M1_PROXY; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
