film_id,date,session,memory_family,raw_agreement,source_quality_state,source_mode,confidence_cap,technical_flags,limits
B6FC_20260505_1413_BDE6E508,2026-05-05,LONDON_NY_OVERLAP,DIRECTIONAL_PROGRESS_MEMORY,CONFIRMED_BY_RAW,SOURCE_QUALITY_USABLE,M1_BAR_PROXY,0.35,PROXY_READING;RETEST_NOT_EXPLICIT_IN_FILM_CARD;NOT_FULL_FOOTPRINT,FORCE_SNAPSHOT_DERIVED: reconstruction force_snapshots_v2; not recovered existing summary; proxy/reconstructed reading; not full footprint claim; CONFIRMED_BY_RAW: raw supports proxy reading; source_quality_raw=PARTIAL_PROXY_COVERAGE; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260505_2306_4093A4AF,2026-05-05,LATE_US_ASIA_HANDOVER,FRICTION_ABSORPTION_MEMORY,NUANCED_BY_RAW,SOURCE_QUALITY_USABLE,M1_BAR_PROXY,0.35,RAW_NUANCES_PROXY;PROXY_READING;RETEST_NOT_EXPLICIT_IN_FILM_CARD;NOT_FULL_FOOTPRINT,FORCE_SNAPSHOT_DERIVED: reconstruction force_snapshots_v2; not recovered existing summary; proxy/reconstructed reading; not full footprint claim; NUANCED_BY_RAW: useful but not hard-confirmed raw; source_quality_raw=PARTIAL_PROXY_COVERAGE; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260506_0001_D0B23C7C,2026-05-06,ASIAN_SESSION,FRICTION_ABSORPTION_MEMORY,NUANCED_BY_RAW,SOURCE_QUALITY_STRONG,M1_BAR_PROXY,0.35,RAW_NUANCES_PROXY;PROXY_READING;RETEST_NOT_EXPLICIT_IN_FILM_CARD;NOT_FULL_FOOTPRINT,RECOVERED_EXISTING_B9_SUMMARY: recovered explicit B9 moments; shift0 raw alignment; proxy/reconstructed reading; not full footprint claim; NUANCED_BY_RAW: useful but not hard-confirmed raw; source_quality_raw=RECOVERED_EXISTING_B9_SUMMARY_SHIFT0_FULL_RAW_ALIGNMENT; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260506_0003_EDF8CA3B,2026-05-06,ASIAN_SESSION,FRICTION_ABSORPTION_MEMORY,NUANCED_BY_RAW,SOURCE_QUALITY_STRONG,M1_BAR_PROXY,0.35,RAW_NUANCES_PROXY;PROXY_READING;RETEST_NOT_EXPLICIT_IN_FILM_CARD;NOT_FULL_FOOTPRINT,RECOVERED_EXISTING_B9_SUMMARY: recovered explicit B9 moments; shift0 raw alignment; proxy/reconstructed reading; not full footprint claim; NUANCED_BY_RAW: useful but not hard-confirmed raw; source_quality_raw=RECOVERED_EXISTING_B9_SUMMARY_SHIFT0_FULL_RAW_ALIGNMENT; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260506_0004_BE4575C7,2026-05-06,ASIAN_SESSION,FRICTION_ABSORPTION_MEMORY,NUANCED_BY_RAW,SOURCE_QUALITY_STRONG,M1_BAR_PROXY,0.35,RAW_NUANCES_PROXY;PROXY_READING;RETEST_NOT_EXPLICIT_IN_FILM_CARD;NOT_FULL_FOOTPRINT,RECOVERED_EXISTING_B9_SUMMARY: recovered explicit B9 moments; shift0 raw alignment; proxy/reconstructed reading; not full footprint claim; NUANCED_BY_RAW: useful but not hard-confirmed raw; source_quality_raw=RECOVERED_EXISTING_B9_SUMMARY_SHIFT0_FULL_RAW_ALIGNMENT; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260506_0005_9765D84F,2026-05-06,ASIAN_SESSION,FRICTION_ABSORPTION_MEMORY,NUANCED_BY_RAW,SOURCE_QUALITY_STRONG,M1_BAR_PROXY,0.35,RAW_NUANCES_PROXY;PROXY_READING;RETEST_NOT_EXPLICIT_IN_FILM_CARD;NOT_FULL_FOOTPRINT,RECOVERED_EXISTING_B9_SUMMARY: recovered explicit B9 moments; shift0 raw alignment; proxy/reconstructed reading; not full footprint claim; NUANCED_BY_RAW: useful but not hard-confirmed raw; source_quality_raw=RECOVERED_EXISTING_B9_SUMMARY_SHIFT0_FULL_RAW_ALIGNMENT; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260506_0006_D338C84D,2026-05-06,ASIAN_SESSION,FRICTION_ABSORPTION_MEMORY,NUANCED_BY_RAW,SOURCE_QUALITY_STRONG,M1_BAR_PROXY,0.35,RAW_NUANCES_PROXY;PROXY_READING;RETEST_NOT_EXPLICIT_IN_FILM_CARD;NOT_FULL_FOOTPRINT,RECOVERED_EXISTING_B9_SUMMARY: recovered explicit B9 moments; shift0 raw alignment; proxy/reconstructed reading; not full footprint claim; NUANCED_BY_RAW: useful but not hard-confirmed raw; source_quality_raw=RECOVERED_EXISTING_B9_SUMMARY_SHIFT0_FULL_RAW_ALIGNMENT; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260506_0007_32D97691,2026-05-06,ASIAN_SESSION,FRICTION_ABSORPTION_MEMORY,NUANCED_BY_RAW,SOURCE_QUALITY_STRONG,M1_BAR_PROXY,0.35,RAW_NUANCES_PROXY;PROXY_READING;RETEST_NOT_EXPLICIT_IN_FILM_CARD;NOT_FULL_FOOTPRINT,RECOVERED_EXISTING_B9_SUMMARY: recovered explicit B9 moments; shift0 raw alignment; proxy/reconstructed reading; not full footprint claim; NUANCED_BY_RAW: useful but not hard-confirmed raw; source_quality_raw=RECOVERED_EXISTING_B9_SUMMARY_SHIFT0_FULL_RAW_ALIGNMENT; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260506_0008_3720A433,2026-05-06,ASIAN_SESSION,FRICTION_ABSORPTION_MEMORY,NUANCED_BY_RAW,SOURCE_QUALITY_STRONG,M1_BAR_PROXY,0.35,RAW_NUANCES_PROXY;PROXY_READING;RETEST_NOT_EXPLICIT_IN_FILM_CARD;NOT_FULL_FOOTPRINT,RECOVERED_EXISTING_B9_SUMMARY: recovered explicit B9 moments; shift0 raw alignment; proxy/reconstructed reading; not full footprint claim; NUANCED_BY_RAW: useful but not hard-confirmed raw; source_quality_raw=RECOVERED_EXISTING_B9_SUMMARY_SHIFT0_FULL_RAW_ALIGNMENT; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260506_0009_00C9CFB0,2026-05-06,ASIAN_SESSION,FRICTION_ABSORPTION_MEMORY,NUANCED_BY_RAW,SOURCE_QUALITY_STRONG,M1_BAR_PROXY,0.35,RAW_NUANCES_PROXY;PROXY_READING;RETEST_NOT_EXPLICIT_IN_FILM_CARD;NOT_FULL_FOOTPRINT,RECOVERED_EXISTING_B9_SUMMARY: recovered explicit B9 moments; shift0 raw alignment; proxy/reconstructed reading; not full footprint claim; NUANCED_BY_RAW: useful but not hard-confirmed raw; source_quality_raw=RECOVERED_EXISTING_B9_SUMMARY_SHIFT0_FULL_RAW_ALIGNMENT; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260506_0010_491F342D,2026-05-06,ASIAN_SESSION,FRICTION_ABSORPTION_MEMORY,NUANCED_BY_RAW,SOURCE_QUALITY_STRONG,M1_BAR_PROXY,0.35,RAW_NUANCES_PROXY;PROXY_READING;RETEST_NOT_EXPLICIT_IN_FILM_CARD;NOT_FULL_FOOTPRINT,RECOVERED_EXISTING_B9_SUMMARY: recovered explicit B9 moments; shift0 raw alignment; proxy/reconstructed reading; not full footprint claim; NUANCED_BY_RAW: useful but not hard-confirmed raw; source_quality_raw=RECOVERED_EXISTING_B9_SUMMARY_SHIFT0_FULL_RAW_ALIGNMENT; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260506_0011_E0ADF533,2026-05-06,ASIAN_SESSION,FRICTION_ABSORPTION_MEMORY,NUANCED_BY_RAW,SOURCE_QUALITY_STRONG,M1_BAR_PROXY,0.35,RAW_NUANCES_PROXY;PROXY_READING;RETEST_NOT_EXPLICIT_IN_FILM_CARD;NOT_FULL_FOOTPRINT,RECOVERED_EXISTING_B9_SUMMARY: recovered explicit B9 moments; shift0 raw alignment; proxy/reconstructed reading; not full footprint claim; NUANCED_BY_RAW: useful but not hard-confirmed raw; source_quality_raw=RECOVERED_EXISTING_B9_SUMMARY_SHIFT0_FULL_RAW_ALIGNMENT; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260506_0012_199FA395,2026-05-06,ASIAN_SESSION,FRICTION_ABSORPTION_MEMORY,NUANCED_BY_RAW,SOURCE_QUALITY_STRONG,M1_BAR_PROXY,0.35,RAW_NUANCES_PROXY;PROXY_READING;RETEST_NOT_EXPLICIT_IN_FILM_CARD;NOT_FULL_FOOTPRINT,RECOVERED_EXISTING_B9_SUMMARY: recovered explicit B9 moments; shift0 raw alignment; proxy/reconstructed reading; not full footprint claim; NUANCED_BY_RAW: useful but not hard-confirmed raw; source_quality_raw=RECOVERED_EXISTING_B9_SUMMARY_SHIFT0_FULL_RAW_ALIGNMENT; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260506_0013_37EF0016,2026-05-06,ASIAN_SESSION,FRICTION_ABSORPTION_MEMORY,NUANCED_BY_RAW,SOURCE_QUALITY_STRONG,M1_BAR_PROXY,0.35,RAW_NUANCES_PROXY;PROXY_READING;RETEST_NOT_EXPLICIT_IN_FILM_CARD;NOT_FULL_FOOTPRINT,RECOVERED_EXISTING_B9_SUMMARY: recovered explicit B9 moments; shift0 raw alignment; proxy/reconstructed reading; not full footprint claim; NUANCED_BY_RAW: useful but not hard-confirmed raw; source_quality_raw=RECOVERED_EXISTING_B9_SUMMARY_SHIFT0_FULL_RAW_ALIGNMENT; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260506_0014_7411A598,2026-05-06,ASIAN_SESSION,FRICTION_ABSORPTION_MEMORY,NUANCED_BY_RAW,SOURCE_QUALITY_STRONG,M1_BAR_PROXY,0.35,RAW_NUANCES_PROXY;PROXY_READING;RETEST_NOT_EXPLICIT_IN_FILM_CARD;NOT_FULL_FOOTPRINT,RECOVERED_EXISTING_B9_SUMMARY: recovered explicit B9 moments; shift0 raw alignment; proxy/reconstructed reading; not full footprint claim; NUANCED_BY_RAW: useful but not hard-confirmed raw; source_quality_raw=RECOVERED_EXISTING_B9_SUMMARY_SHIFT0_FULL_RAW_ALIGNMENT; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260506_0015_43C74A80,2026-05-06,ASIAN_SESSION,FRICTION_ABSORPTION_MEMORY,NUANCED_BY_RAW,SOURCE_QUALITY_STRONG,M1_BAR_PROXY,0.35,RAW_NUANCES_PROXY;PROXY_READING;RETEST_NOT_EXPLICIT_IN_FILM_CARD;NOT_FULL_FOOTPRINT,RECOVERED_EXISTING_B9_SUMMARY: recovered explicit B9 moments; shift0 raw alignment; proxy/reconstructed reading; not full footprint claim; NUANCED_BY_RAW: useful but not hard-confirmed raw; source_quality_raw=RECOVERED_EXISTING_B9_SUMMARY_SHIFT0_FULL_RAW_ALIGNMENT; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260506_0016_26A208B2,2026-05-06,ASIAN_SESSION,FRICTION_ABSORPTION_MEMORY,NUANCED_BY_RAW,SOURCE_QUALITY_STRONG,M1_BAR_PROXY,0.35,RAW_NUANCES_PROXY;PROXY_READING;RETEST_NOT_EXPLICIT_IN_FILM_CARD;NOT_FULL_FOOTPRINT,RECOVERED_EXISTING_B9_SUMMARY: recovered explicit B9 moments; shift0 raw alignment; proxy/reconstructed reading; not full footprint claim; NUANCED_BY_RAW: useful but not hard-confirmed raw; source_quality_raw=RECOVERED_EXISTING_B9_SUMMARY_SHIFT0_FULL_RAW_ALIGNMENT; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260506_0017_C1B95BDE,2026-05-06,ASIAN_SESSION,FRICTION_ABSORPTION_MEMORY,NUANCED_BY_RAW,SOURCE_QUALITY_STRONG,M1_BAR_PROXY,0.35,RAW_NUANCES_PROXY;PROXY_READING;RETEST_NOT_EXPLICIT_IN_FILM_CARD;NOT_FULL_FOOTPRINT,RECOVERED_EXISTING_B9_SUMMARY: recovered explicit B9 moments; shift0 raw alignment; proxy/reconstructed reading; not full footprint claim; NUANCED_BY_RAW: useful but not hard-confirmed raw; source_quality_raw=RECOVERED_EXISTING_B9_SUMMARY_SHIFT0_FULL_RAW_ALIGNMENT; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260506_0018_BCE6EBD7,2026-05-06,ASIAN_SESSION,FRICTION_ABSORPTION_MEMORY,NUANCED_BY_RAW,SOURCE_QUALITY_STRONG,M1_BAR_PROXY,0.35,RAW_NUANCES_PROXY;PROXY_READING;RETEST_NOT_EXPLICIT_IN_FILM_CARD;NOT_FULL_FOOTPRINT,RECOVERED_EXISTING_B9_SUMMARY: recovered explicit B9 moments; shift0 raw alignment; proxy/reconstructed reading; not full footprint claim; NUANCED_BY_RAW: useful but not hard-confirmed raw; source_quality_raw=RECOVERED_EXISTING_B9_SUMMARY_SHIFT0_FULL_RAW_ALIGNMENT; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260506_0019_1956DB58,2026-05-06,ASIAN_SESSION,FRICTION_ABSORPTION_MEMORY,NUANCED_BY_RAW,SOURCE_QUALITY_STRONG,M1_BAR_PROXY,0.35,RAW_NUANCES_PROXY;PROXY_READING;RETEST_NOT_EXPLICIT_IN_FILM_CARD;NOT_FULL_FOOTPRINT,RECOVERED_EXISTING_B9_SUMMARY: recovered explicit B9 moments; shift0 raw alignment; proxy/reconstructed reading; not full footprint claim; NUANCED_BY_RAW: useful but not hard-confirmed raw; source_quality_raw=RECOVERED_EXISTING_B9_SUMMARY_SHIFT0_FULL_RAW_ALIGNMENT; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260506_0020_C047B043,2026-05-06,ASIAN_SESSION,FRICTION_ABSORPTION_MEMORY,NUANCED_BY_RAW,SOURCE_QUALITY_STRONG,M1_BAR_PROXY,0.35,RAW_NUANCES_PROXY;PROXY_READING;RETEST_NOT_EXPLICIT_IN_FILM_CARD;NOT_FULL_FOOTPRINT,RECOVERED_EXISTING_B9_SUMMARY: recovered explicit B9 moments; shift0 raw alignment; proxy/reconstructed reading; not full footprint claim; NUANCED_BY_RAW: useful but not hard-confirmed raw; source_quality_raw=RECOVERED_EXISTING_B9_SUMMARY_SHIFT0_FULL_RAW_ALIGNMENT; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260506_0021_299BEFA1,2026-05-06,ASIAN_SESSION,FRICTION_ABSORPTION_MEMORY,NUANCED_BY_RAW,SOURCE_QUALITY_STRONG,M1_BAR_PROXY,0.35,RAW_NUANCES_PROXY;PROXY_READING;RETEST_NOT_EXPLICIT_IN_FILM_CARD;NOT_FULL_FOOTPRINT,RECOVERED_EXISTING_B9_SUMMARY: recovered explicit B9 moments; shift0 raw alignment; proxy/reconstructed reading; not full footprint claim; NUANCED_BY_RAW: useful but not hard-confirmed raw; source_quality_raw=RECOVERED_EXISTING_B9_SUMMARY_SHIFT0_FULL_RAW_ALIGNMENT; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
