date,time_start,time_end,source_family,summary_recovery_type,source_mode,data_visibility,confidence_cap,proxy_vs_raw_verdict,proxy_raw_agreement_state,source_quality_score,source_quality_state,b6_memory_candidate_score,b6_memory_candidate_state,raw_texture_role,raw_delta_pips,raw_range_pips,raw_tick_count,moment_type,label_fr,memory_candidate_reason,technical_limits
2026-05-04,2026-05-04T20:00:00+00:00,2026-05-04T21:00:00+00:00,FORCE_SNAPSHOT_DERIVED,FORCE_SNAPSHOT_DERIVED,TF30_BAR_PROXY,RECONSTRUCTED_FORCE_SNAPSHOT_DERIVED,0.25,RAW_UNAVAILABLE,RAW_UNAVAILABLE,0.000,SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE,0.000,B6_REJECT_RAW_UNAVAILABLE,RAW_UNAVAILABLE,0.0,0.0,0,FLOW_DIRECTIONAL_DISPLACEMENT,Déplacement directionnel proxy,Rejet memoire active: raw indisponible; conservation uniquement en trace de couverture.,FORCE_SNAPSHOT_DERIVED: reconstruction force_snapshots_v2; not recovered existing summary; proxy/reconstructed reading; not full footprint claim; RAW_UNAVAILABLE: excluded from active B6 memory; source_quality_raw=SPARSE_PROXY_COVERAGE; confidence_cap=0.25; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL
2026-05-04,2026-05-04T21:00:00+00:00,2026-05-04T21:30:00+00:00,FORCE_SNAPSHOT_DERIVED,FORCE_SNAPSHOT_DERIVED,TF30_BAR_PROXY,RECONSTRUCTED_FORCE_SNAPSHOT_DERIVED,0.25,RAW_UNAVAILABLE,RAW_UNAVAILABLE,0.000,SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE,0.000,B6_REJECT_RAW_UNAVAILABLE,RAW_UNAVAILABLE,0.0,0.0,0,FLOW_WEAK_DIRECTIONAL,Flux faible / transition proxy,Rejet memoire active: raw indisponible; conservation uniquement en trace de couverture.,FORCE_SNAPSHOT_DERIVED: reconstruction force_snapshots_v2; not recovered existing summary; proxy/reconstructed reading; not full footprint claim; RAW_UNAVAILABLE: excluded from active B6 memory; source_quality_raw=SPARSE_PROXY_COVERAGE; confidence_cap=0.25; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL
2026-05-05,2026-05-05T22:06:00+00:00,2026-05-05T23:06:00+00:00,FORCE_SNAPSHOT_DERIVED,FORCE_SNAPSHOT_DERIVED,M1_BAR_PROXY,RECONSTRUCTED_FORCE_SNAPSHOT_DERIVED,0.35,RAW_UNAVAILABLE,RAW_UNAVAILABLE,0.000,SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE,0.000,B6_REJECT_RAW_UNAVAILABLE,RAW_UNAVAILABLE,0.0,0.0,0,FLOW_WEAK_DIRECTIONAL,Flux faible / transition proxy,Rejet memoire active: raw indisponible; conservation uniquement en trace de couverture.,FORCE_SNAPSHOT_DERIVED: reconstruction force_snapshots_v2; not recovered existing summary; proxy/reconstructed reading; not full footprint claim; RAW_UNAVAILABLE: excluded from active B6 memory; source_quality_raw=PARTIAL_PROXY_COVERAGE; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL
2026-05-07,2026-05-07T20:01:00+00:00,2026-05-07T21:01:00+00:00,FORCE_SNAPSHOT_DERIVED,FORCE_SNAPSHOT_DERIVED,M1_BAR_PROXY,RECONSTRUCTED_FORCE_SNAPSHOT_DERIVED,0.35,RAW_UNAVAILABLE,RAW_UNAVAILABLE,0.000,SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE,0.000,B6_REJECT_RAW_UNAVAILABLE,RAW_UNAVAILABLE,0.0,0.0,0,FLOW_WEAK_DIRECTIONAL,Flux faible / transition proxy,Rejet memoire active: raw indisponible; conservation uniquement en trace de couverture.,FORCE_SNAPSHOT_DERIVED: reconstruction force_snapshots_v2; not recovered existing summary; proxy/reconstructed reading; not full footprint claim; RAW_UNAVAILABLE: excluded from active B6 memory; source_quality_raw=FULL_DAY_M1_PROXY; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL
2026-05-07,2026-05-07T21:01:00+00:00,2026-05-07T22:01:00+00:00,FORCE_SNAPSHOT_DERIVED,FORCE_SNAPSHOT_DERIVED,M1_BAR_PROXY,RECONSTRUCTED_FORCE_SNAPSHOT_DERIVED,0.35,RAW_UNAVAILABLE,RAW_UNAVAILABLE,0.000,SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE,0.000,B6_REJECT_RAW_UNAVAILABLE,RAW_UNAVAILABLE,0.0,0.0,0,FLOW_ROTATIONAL,Rotation / respiration de zone,Rejet memoire active: raw indisponible; conservation uniquement en trace de couverture.,FORCE_SNAPSHOT_DERIVED: reconstruction force_snapshots_v2; not recovered existing summary; proxy/reconstructed reading; not full footprint claim; RAW_UNAVAILABLE: excluded from active B6 memory; source_quality_raw=FULL_DAY_M1_PROXY; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL
2026-05-07,2026-05-07T22:01:00+00:00,2026-05-07T23:01:00+00:00,FORCE_SNAPSHOT_DERIVED,FORCE_SNAPSHOT_DERIVED,M1_BAR_PROXY,RECONSTRUCTED_FORCE_SNAPSHOT_DERIVED,0.35,RAW_UNAVAILABLE,RAW_UNAVAILABLE,0.000,SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE,0.000,B6_REJECT_RAW_UNAVAILABLE,RAW_UNAVAILABLE,0.0,0.0,0,FLOW_DIRECTIONAL_DISPLACEMENT,Déplacement directionnel proxy,Rejet memoire active: raw indisponible; conservation uniquement en trace de couverture.,FORCE_SNAPSHOT_DERIVED: reconstruction force_snapshots_v2; not recovered existing summary; proxy/reconstructed reading; not full footprint claim; RAW_UNAVAILABLE: excluded from active B6 memory; source_quality_raw=FULL_DAY_M1_PROXY; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL
2026-05-08,2026-05-08T20:04:00+00:00,2026-05-08T21:04:00+00:00,FORCE_SNAPSHOT_DERIVED,FORCE_SNAPSHOT_DERIVED,M1_BAR_PROXY,RECONSTRUCTED_FORCE_SNAPSHOT_DERIVED,0.35,RAW_UNAVAILABLE,RAW_UNAVAILABLE,0.000,SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE,0.000,B6_REJECT_RAW_UNAVAILABLE,RAW_UNAVAILABLE,0.0,0.0,0,FLOW_DIRECTIONAL_DISPLACEMENT,Déplacement directionnel proxy,Rejet memoire active: raw indisponible; conservation uniquement en trace de couverture.,FORCE_SNAPSHOT_DERIVED: reconstruction force_snapshots_v2; not recovered existing summary; proxy/reconstructed reading; not full footprint claim; RAW_UNAVAILABLE: excluded from active B6 memory; source_quality_raw=FULL_DAY_M1_PROXY; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL
2026-05-08,2026-05-08T21:04:00+00:00,2026-05-08T22:04:00+00:00,FORCE_SNAPSHOT_DERIVED,FORCE_SNAPSHOT_DERIVED,M1_BAR_PROXY,RECONSTRUCTED_FORCE_SNAPSHOT_DERIVED,0.35,RAW_UNAVAILABLE,RAW_UNAVAILABLE,0.000,SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE,0.000,B6_REJECT_RAW_UNAVAILABLE,RAW_UNAVAILABLE,0.0,0.0,0,FLOW_ROTATIONAL,Rotation / respiration de zone,Rejet memoire active: raw indisponible; conservation uniquement en trace de couverture.,FORCE_SNAPSHOT_DERIVED: reconstruction force_snapshots_v2; not recovered existing summary; proxy/reconstructed reading; not full footprint claim; RAW_UNAVAILABLE: excluded from active B6 memory; source_quality_raw=FULL_DAY_M1_PROXY; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL
2026-05-08,2026-05-08T22:04:00+00:00,2026-05-08T23:04:00+00:00,FORCE_SNAPSHOT_DERIVED,FORCE_SNAPSHOT_DERIVED,M1_BAR_PROXY,RECONSTRUCTED_FORCE_SNAPSHOT_DERIVED,0.35,RAW_UNAVAILABLE,RAW_UNAVAILABLE,0.000,SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE,0.000,B6_REJECT_RAW_UNAVAILABLE,RAW_UNAVAILABLE,0.0,0.0,0,FLOW_DIRECTIONAL_DISPLACEMENT,Déplacement directionnel proxy,Rejet memoire active: raw indisponible; conservation uniquement en trace de couverture.,FORCE_SNAPSHOT_DERIVED: reconstruction force_snapshots_v2; not recovered existing summary; proxy/reconstructed reading; not full footprint claim; RAW_UNAVAILABLE: excluded from active B6 memory; source_quality_raw=FULL_DAY_M1_PROXY; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL
2026-05-08,2026-05-08T23:04:00+00:00,2026-05-08T23:57:00+00:00,FORCE_SNAPSHOT_DERIVED,FORCE_SNAPSHOT_DERIVED,M1_BAR_PROXY,RECONSTRUCTED_FORCE_SNAPSHOT_DERIVED,0.35,RAW_UNAVAILABLE,RAW_UNAVAILABLE,0.000,SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE,0.000,B6_REJECT_RAW_UNAVAILABLE,RAW_UNAVAILABLE,0.0,0.0,0,FLOW_ROTATIONAL,Rotation / respiration de zone,Rejet memoire active: raw indisponible; conservation uniquement en trace de couverture.,FORCE_SNAPSHOT_DERIVED: reconstruction force_snapshots_v2; not recovered existing summary; proxy/reconstructed reading; not full footprint claim; RAW_UNAVAILABLE: excluded from active B6 memory; source_quality_raw=FULL_DAY_M1_PROXY; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL
2026-05-11,2026-05-11T20:41:00+00:00,2026-05-11T21:41:00+00:00,FORCE_SNAPSHOT_DERIVED,FORCE_SNAPSHOT_DERIVED,M1_BAR_PROXY,RECONSTRUCTED_FORCE_SNAPSHOT_DERIVED,0.35,RAW_UNAVAILABLE,RAW_UNAVAILABLE,0.000,SOURCE_QUALITY_REJECT_RAW_UNAVAILABLE,0.000,B6_REJECT_RAW_UNAVAILABLE,RAW_UNAVAILABLE,0.0,0.0,0,FLOW_DIRECTIONAL_DISPLACEMENT,Déplacement directionnel proxy,Rejet memoire active: raw indisponible; conservation uniquement en trace de couverture.,FORCE_SNAPSHOT_DERIVED: reconstruction force_snapshots_v2; not recovered existing summary; proxy/reconstructed reading; not full footprint claim; RAW_UNAVAILABLE: excluded from active B6 memory; source_quality_raw=PARTIAL_PROXY_COVERAGE; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL
