field,covered_moments,total_moments,missing_moments,coverage_ratio
what_happens_fr,52,52,0,1.0
why_it_matters_fr,52,52,0,1.0
how_it_happened_fr,52,52,0,1.0
mechanism_fr,52,52,0,1.0
proof_summary_fr,52,52,0,1.0
previous_context_fr,52,52,0,1.0
cause_fr,52,52,0,1.0
reaction_fr,52,52,0,1.0
consequence_fr,52,52,0,1.0
memory_shift_fr,52,52,0,1.0
retest_role_fr,52,52,0,1.0
scene_id,52,52,0,1.0
scene_role,52,52,0,1.0
parent_scene,52,52,0,1.0
child_moments,52,52,0,1.0
session_chapter,52,52,0,1.0
fractal_reading_fr,52,52,0,1.0
b9_center_path_state,52,52,0,1.0
b9_effort_result_progress_state,52,52,0,1.0
b9_native_retest_judgment,52,52,0,1.0
b9_source_quality_native_state,52,52,0,1.0
