field,present_count,missing_count,coverage_ratio
what_happens_fr,8,0,1.0
why_it_matters_fr,8,0,1.0
how_it_happened_fr,8,0,1.0
mechanism_fr,8,0,1.0
proof_summary_fr,8,0,1.0
previous_context_fr,8,0,1.0
cause_fr,8,0,1.0
reaction_fr,8,0,1.0
consequence_fr,8,0,1.0
memory_shift_fr,8,0,1.0
retest_role_fr,8,0,1.0
scene_id,8,0,1.0
scene_role,8,0,1.0
parent_scene,8,0,1.0
child_moments,8,0,1.0
session_chapter,8,0,1.0
fractal_reading_fr,8,0,1.0
b9_center_path_state,8,0,1.0
b9_effort_result_progress_state,8,0,1.0
b9_progress_type,8,0,1.0
b9_native_retest_judgment,8,0,1.0
b9_source_quality_native_state,8,0,1.0
b9_v4_timestamp_policy,8,0,1.0
